//Date Created 2022-12-09 13:09:00.555672
"//Units: sec, m/s/s"
Action,waiting
SampleRate,100.0
Frames#,Time,AccX,AccY,AccZ
1,3.5762786865234375e-06,-0.576472,9.553648,1.9734
2,0.006822109222412109,-0.576472,9.539296,2.047552
3,0.017032861709594727,-0.643448,9.65172,1.990144
4,0.02694225311279297,-0.672152,9.589528,1.963832
5,0.037523508071899414,-0.708032,9.572784,2.061904
6,0.046993255615234375,-0.710424,9.649328,2.002104
7,0.057035207748413086,-0.679328,9.721088,1.932736
8,0.06701135635375977,-0.698464,9.673248,1.908816
9,0.07708740234375,-0.507104,9.718696,1.92556
10,0.08702254295349121,-0.55016,9.72348,1.92556
11,0.09762430191040039,-0.485576,9.692384,1.896856
12,0.10673069953918457,-0.397072,9.670856,1.975792
13,0.11676621437072754,-0.270296,9.697168,2.002104
14,0.1277017593383789,-0.220064,9.666072,1.956656
15,0.1369495391845703,-0.172224,9.65172,1.999712
16,0.14732789993286133,-0.208104,9.658896,1.9136
17,0.1575789451599121,-0.291824,9.57996,1.999712
18,0.16736412048339844,-0.351624,9.577568,1.93752
19,0.17738080024719238,-0.365976,9.53212,2.047552
20,0.18757295608520508,-0.416208,9.510592,1.932736
21,0.19704723358154297,-0.523848,9.512984,1.927952
22,0.20703339576721191,-0.626704,9.493848,1.927952
23,0.21758079528808594,-0.662584,9.455576,1.923168
24,0.2273399829864502,-0.631488,9.477104,1.927952
25,0.23734402656555176,-0.676936,9.422088,2.011672
26,0.24762487411499023,-0.75348,9.503416,1.978184
27,0.2573363780975342,-0.727168,9.467536,1.963832
28,0.2673988342285156,-0.686504,9.321624,1.92556
29,0.2777061462402344,-0.605176,9.312056,2.004496
30,0.2873356342315674,-0.600392,9.199632,2.054728
31,0.29703497886657715,-0.559728,9.235512,1.98536
32,0.307750940322876,-0.569296,9.168536,2.066688
33,0.31735849380493164,-0.581256,9.302488,2.052336
34,0.3273437023162842,-0.708032,9.264216,2.016456
35,0.33751797676086426,-0.69368,9.3886,2.085824
36,0.34705018997192383,-0.784576,9.405344,1.94948
37,0.3573591709136963,-0.832416,9.613448,1.887288
38,0.36754369735717773,-0.966368,9.733048,1.980576
39,0.3768930435180664,-1.011816,9.69956,1.975792
40,0.3873269557952881,-0.928096,9.73544,1.887288
41,0.3975718021392822,-0.827632,9.697168,2.016456
42,0.4073302745819092,-0.636272,9.713912,1.99732
43,0.41729736328125,-0.449696,9.685208,2.037984
44,0.4275350570678711,-0.224848,9.69956,1.99732
45,0.4373443126678467,-0.157872,9.733048,2.195856
46,0.44733333587646484,-0.055016,9.697168,2.145624
47,0.4576699733734131,0.02392,9.752184,2.133664
48,0.4673197269439697,-0.105248,9.773712,2.255656
49,0.47730588912963867,-0.138736,9.742616,2.174328
50,0.4878561496734619,-0.33488,9.725872,2.226952
51,0.49729061126708984,-0.399464,9.65172,2.179112
52,0.5069911479949951,-0.389896,9.606272,2.231736
53,0.5175318717956543,-0.432952,9.565608,2.16476
54,0.5270824432373047,-0.411424,9.49624,2.131272
55,0.5373318195343018,-0.330096,9.49624,2.040376
56,0.5475306510925293,-0.440128,9.565608,2.073864
57,0.5573148727416992,-0.464048,9.637368,2.002104
58,0.5673036575317383,-0.45448,9.618232,1.932736
59,0.5775518417358398,-0.483184,9.694776,1.990144
60,0.5869128704071045,-0.523848,9.661288,2.016456
61,0.5973513126373291,-0.554944,9.673248,2.090608
62,0.6077005863189697,-0.605176,9.730656,1.959048
63,0.6167435646057129,-0.554944,9.668464,2.042768
64,0.6270291805267334,-0.559728,9.608664,2.02124
65,0.6376051902770996,-0.5382,9.577568,2.193464
66,0.6469597816467285,-0.533416,9.489064,2.083432
67,0.6570520401000977,-0.38272,9.477104,2.085824
68,0.6676206588745117,-0.4186,9.422088,2.131272
69,0.6770386695861816,-0.420992,9.379032,2.124096
70,0.6873345375061035,-0.404248,9.369464,2.26044
71,0.6976335048675537,-0.411424,9.331192,2.162368
72,0.707087516784668,-0.356408,9.477104,2.12888
73,0.7173905372619629,-0.420992,9.453184,2.198248
74,0.7276060581207275,-0.437736,9.338368,2.169544
75,0.737375020980835,-0.432952,9.429264,2.157584
76,0.7469251155853271,-0.5382,9.37664,2.262832
77,0.7575793266296387,-0.557336,9.462752,2.17672
78,0.7673437595367432,-0.547768,9.417304,2.174328
79,0.7769434452056885,-0.64584,9.395776,2.159976
80,0.7875781059265137,-0.600392,9.49624,2.214992
81,0.7973802089691162,-0.653016,9.551256,2.23652
82,0.8074376583099365,-0.700856,9.524944,2.24848
83,0.8175835609436035,-0.691288,9.582352,2.289144
84,0.8273782730102539,-0.734344,9.577568,2.303496
85,0.8373708724975586,-0.667368,9.60388,2.250872
86,0.8475866317749023,-0.569296,9.594312,2.363296
87,0.8573575019836426,-0.583648,9.599096,2.262832
88,0.8673441410064697,-0.423384,9.608664,2.28436
89,0.8775744438171387,-0.330096,9.565608,2.231736
90,0.8868634700775146,-0.27508,9.479496,2.171936
91,0.8973851203918457,-0.200928,9.54408,2.066688
92,0.9076056480407715,-0.188968,9.522552,2.131272
93,0.9173734188079834,-0.157872,9.486672,2.095392
94,0.9273674488067627,-0.181792,9.501024,2.083432
95,0.9376423358917236,-0.177008,9.493848,2.10496
96,0.9473538398742676,-0.193752,9.503416,2.064296
97,0.9573650360107422,-0.222456,9.534512,2.030808
98,0.9675626754760742,-0.260728,9.575176,2.1528
99,0.9772424697875977,-0.344448,9.55604,2.066688
100,0.9872987270355225,-0.282256,9.568,2.088216
101,0.9975416660308838,-0.289432,9.656504,2.078648
102,1.0073065757751465,-0.160264,9.606272,2.112136
103,1.0173194408416748,-0.177008,9.52016,2.17672
104,1.0275366306304932,-0.117208,9.539296,2.157584
105,1.037290096282959,-0.03588,9.551256,2.179112
106,1.0473260879516602,-0.062192,9.505808,2.234128
107,1.0575206279754639,-0.07176,9.4484,2.085824
108,1.0673160552978516,-0.090896,9.493848,2.169544
109,1.077298641204834,-0.133952,9.438832,2.289144
110,1.0877761840820312,-0.172224,9.512984,2.219776
111,1.096977949142456,-0.253552,9.563216,2.262832
112,1.1069929599761963,-0.320528,9.575176,2.250872
113,1.1172847747802734,-0.416208,9.59192,2.313064
114,1.1273202896118164,-0.456872,9.546472,2.291536
115,1.1373708248138428,-0.480792,9.503416,2.334592
116,1.1475369930267334,-0.600392,9.565608,2.265224
117,1.1572959423065186,-0.569296,9.575176,2.217384
118,1.1673402786254883,-0.545376,9.682816,2.145624
119,1.1775305271148682,-0.363584,9.666072,2.08104
120,1.187284231185913,-0.208104,9.608664,2.155192
121,1.1968908309936523,-0.04784,9.54408,2.085824
122,1.2075397968292236,0.069368,9.443616,2.14084
123,1.2168385982513428,0.172224,9.36468,2.174328
124,1.2269420623779297,0.22724,9.276176,2.22456
125,1.237637996673584,0.349232,9.144616,2.136056
126,1.246945858001709,0.315744,9.130264,2.289144
127,1.256955862045288,0.243984,9.094384,2.253264
128,1.267702579498291,0.15548,9.080032,2.24848
129,1.2770092487335205,0.021528,9.130264,2.2126
130,1.2870373725891113,-0.19136,9.206808,2.22456
131,1.29752516746521,-0.31096,9.237904,2.198248
132,1.3075809478759766,-0.45448,9.290528,2.219776
133,1.317328691482544,-0.542984,9.302488,2.136056
134,1.3273203372955322,-0.56212,9.4484,2.148016
135,1.337352991104126,-0.533416,9.474712,2.138448
136,1.3473584651947021,-0.624312,9.505808,2.198248
137,1.3575546741485596,-0.679328,9.572784,2.222168
138,1.3672912120819092,-0.746304,9.55604,2.167152
139,1.3773655891418457,-0.81328,9.646936,2.226952
140,1.3876962661743164,-0.779792,9.666072,2.262832
141,1.3969569206237793,-0.760656,9.620624,2.303496
142,1.4073147773742676,-0.698464,9.67564,2.339376
143,1.4176576137542725,-0.770224,9.625408,2.29632
144,1.426917552947998,-0.70564,9.63976,2.375256
145,1.4367916584014893,-0.722384,9.57996,2.382432
146,1.4476699829101562,-0.672152,9.611056,2.298712
