//Date Created 2022-12-09 13:10:25.957458
"//Units: sec, m/s/s"
Action,pouring
SampleRate,100.0
Frames#,Time,AccX,AccY,AccZ
1,3.5762786865234375e-06,-5.269576,7.9534,1.203176
2,0.004568576812744141,-5.228912,7.934264,1.227096
3,0.013824701309204102,-5.255224,7.946224,1.203176
4,0.02402043342590332,-5.269576,7.907952,1.251016
5,0.03464961051940918,-5.2624,7.91752,1.186432
6,0.0439145565032959,-5.307848,7.962968,1.105104
7,0.053890228271484375,-5.31024,7.991672,1.069224
8,0.06451201438903809,-5.422664,8.080176,1.085968
9,0.07388114929199219,-5.37004,8.09692,1.217528
10,0.08403897285461426,-5.494424,8.151936,1.078792
11,0.09462594985961914,-5.456152,8.068216,1.045304
12,0.10414505004882812,-5.492032,8.068216,1.164904
13,0.11406588554382324,-5.420272,7.998848,1.131416
14,0.12494826316833496,-5.401136,7.970144,1.117064
15,0.1347963809967041,-5.348512,7.895992,1.162512
16,0.14412140846252441,-5.231304,7.951008,1.133808
17,0.1549069881439209,-5.224128,7.891208,1.236664
18,0.16413021087646484,-5.207384,7.85772,1.301248
19,0.1741316318511963,-5.303064,7.80988,1.3156
20,0.18476343154907227,-5.315024,7.802704,1.241448
21,0.19401192665100098,-5.34612,7.752472,1.30364
22,0.2039499282836914,-5.401136,7.790744,1.298856
23,0.21466541290283203,-5.432232,7.843368,1.317992
24,0.2238781452178955,-5.425056,7.862504,1.373008
25,0.2339479923248291,-5.437016,7.819448,1.310816
26,0.2446579933166504,-5.437016,7.82184,1.203176
27,0.2541532516479492,-5.4418,7.802704,1.289288
28,0.26413822174072266,-5.413096,7.771608,1.251016
29,0.2746257781982422,-5.425056,7.707024,1.301248
30,0.2840869426727295,-5.35808,7.754864,1.286896
31,0.2941431999206543,-5.300672,7.747688,1.260584
32,0.3046586513519287,-5.2624,7.680712,1.396928
33,0.3139779567718506,-5.224128,7.656792,1.425632
34,0.3241231441497803,-5.288712,7.620912,1.346696
35,0.334705114364624,-5.312632,7.647224,1.222312
36,0.34419775009155273,-5.377216,7.640048,1.396928
37,0.3540663719177246,-5.45376,7.616128,1.301248
38,0.36400580406188965,-5.482464,7.644832,1.308424
