//Date Created 2022-12-09 13:17:24.638824
"//Units: sec, m/s/s"
Action,walking
SampleRate,100.0
Frames#,Time,AccX,AccY,AccZ
1,3.814697265625e-06,6.527768,6.609096,3.841552
2,0.00176239013671875,6.441656,6.489496,4.035304
3,0.011645793914794922,5.982392,6.644976,3.985072
4,0.02109217643737793,5.264792,7.656792,3.3488
5,0.031236886978149414,4.575896,9.158968,2.832128
6,0.04184699058532715,4.001816,10.66832,2.205424
7,0.05123472213745117,3.458832,11.658608,1.904032
8,0.061278581619262695,2.958904,12.005448,1.808352
9,0.07187771797180176,2.46376,12.58192,1.738984
10,0.08160161972045898,2.28436,13.089024,2.17672
11,0.09123516082763672,2.281968,13.189488,2.48768
12,0.10170173645019531,2.458976,13.077064,2.494856
13,0.11163020133972168,2.779504,13.158392,2.602496
14,0.12162947654724121,3.344016,13.47892,2.70296
15,0.13197636604309082,3.980288,13.521976,2.588144
16,0.14163780212402344,4.793568,13.354536,2.528344
17,0.1512608528137207,5.372432,13.328224,2.939768
18,0.16170930862426758,5.396352,13.294736,3.55212
19,0.17163515090942383,4.925128,13.177528,4.291248
20,0.18125534057617188,4.22188,12.541256,5.032768
21,0.19170522689819336,3.62388,11.615552,5.736016
22,0.20121097564697266,3.367936,10.75204,6.078072
23,0.21162676811218262,3.095248,9.611056,6.097208
24,0.22172117233276367,2.903888,8.331336,6.006312
25,0.23162341117858887,2.839304,7.183176,5.793424
26,0.24125432968139648,2.7508,6.360328,5.664256
27,0.25173282623291016,2.746016,5.838872,5.446584
28,0.261258602142334,2.435056,5.611632,5.037552
29,0.27160143852233887,1.82988,5.391568,4.740944
30,0.28168678283691406,1.08836,5.104528,4.55676
31,0.29127049446105957,0.420992,4.949048,4.360616
32,0.3015878200531006,-0.105248,5.104528,3.944408
33,0.3116884231567383,-0.473616,5.520736,3.750656
34,0.3216269016265869,-0.476008,6.212024,3.363152
35,0.3316154479980469,-0.26312,6.86504,3.406208
36,0.34167933464050293,0.112424,7.070752,3.370328
37,0.3516361713409424,0.540592,6.826768,2.992392
38,0.3612062931060791,0.810888,6.594744,2.968472
39,0.3717207908630371,0.975936,6.130696,2.40396
40,0.3816032409667969,0.380328,8.053864,2.815384
41,0.39159059524536133,2.286752,10.161216,2.38004
42,0.40202999114990234,0.559728,10.66832,2.95412
43,0.41153430938720703,-0.904176,9.008272,1.731808
44,0.4212627410888672,-0.72956,8.106488,2.497248
45,0.43187808990478516,1.071616,7.7142,3.212456
46,0.44150662422180176,2.975648,7.589816,3.367936
47,0.4511706829071045,3.953976,8.340904,2.734056
48,0.461256742477417,3.14548,9.563216,1.935128
49,0.4715142250061035,2.796248,11.45768,2.478112
50,0.4815688133239746,2.382432,12.395344,3.281824
51,0.49161601066589355,2.052336,12.529296,3.114384
52,0.50152587890625,0.906568,13.029224,3.08568
53,0.5111076831817627,0.337272,13.340184,2.748408
54,0.5220620632171631,-0.07176,13.533936,3.126344
55,0.5312411785125732,0.303784,13.880776,3.877432
56,0.5411334037780762,1.24384,14.141504,4.451512
57,0.5519483089447021,2.480504,13.871208,4.757688
58,0.5612821578979492,3.439696,12.890488,5.008848
59,0.5711624622344971,4.059224,12.280528,4.89164
60,0.5818719863891602,4.083144,11.189776,4.035304
61,0.5912017822265625,3.523416,10.127728,3.750656
62,0.6012229919433594,2.920632,9.498632,3.79132
63,0.6119015216827393,2.564224,8.714056,3.37272
64,0.6211907863616943,1.846624,8.173464,3.351192
65,0.6313371658325195,0.794144,7.730944,3.446872
66,0.6417186260223389,-0.444912,6.958328,3.250728
67,0.651620626449585,-1.42324,6.515808,3.446872
68,0.6616239547729492,-1.786824,6.295744,3.1694
69,0.6716899871826172,-1.956656,6.475144,3.466008
70,0.6812365055084229,-1.978184,6.367504,3.387072
71,0.6912491321563721,-2.339376,5.587712,2.934984
72,0.7016911506652832,-1.672008,5.556616,3.54016
73,0.7118635177612305,-1.298856,5.544656,3.841552
74,0.721660852432251,-1.392144,5.35808,3.700424
75,0.7316718101501465,-1.478256,4.243408,2.195856
76,0.7411737442016602,-1.425632,5.013632,4.367792
