//Date Created 2022-12-09 13:18:57.636326
"//Units: sec, m/s/s"
Action,walking
SampleRate,100.0
Frames#,Time,AccX,AccY,AccZ
1,4.5299530029296875e-06,5.29828,11.225656,3.289
2,0.004840373992919922,5.76472,11.063,3.095248
3,0.01414036750793457,6.180928,11.070176,2.7508
4,0.02489757537841797,6.295744,11.495952,2.430272
5,0.034098148345947266,6.293352,11.871496,2.071472
6,0.04418778419494629,6.20724,12.196808,1.870544
7,0.05486917495727539,6.41056,12.407304,2.061904
8,0.06422615051269531,6.621056,12.297272,2.470936
9,0.07444024085998535,6.78132,12.089168,2.832128
10,0.0848228931427002,6.49428,11.811696,3.210064
11,0.0942525863647461,5.994352,11.74472,3.293784
12,0.10428023338317871,5.315024,11.653824,3.353584
13,0.11475086212158203,4.642872,11.591632,3.5282
14,0.12465929985046387,4.059224,11.280672,3.805672
15,0.13417649269104004,3.712384,10.84772,4.020952
16,0.1448218822479248,3.537768,10.316696,4.195568
17,0.1543128490447998,3.446872,9.754576,4.171648
18,0.16457843780517578,3.439696,9.13744,4.071184
19,0.17470383644104004,3.42056,8.57532,3.867864
20,0.18460655212402344,3.454048,8.08496,3.669328
21,0.19423413276672363,3.355976,7.659184,3.578432
22,0.2046680450439453,3.150264,7.39128,3.45644
23,0.2146446704864502,2.79864,7.14012,3.214848
24,0.22461342811584473,2.516384,6.903312,3.14548
25,0.2346937656402588,2.10496,6.55408,3.08568
26,0.24460673332214355,1.741376,6.317272,3.011528
27,0.2546234130859375,1.210352,5.635552,2.569008
28,0.26488375663757324,1.576328,5.03516,1.36344
29,0.27426624298095703,-0.822848,4.274504,2.645552
30,0.2846071720123291,-0.043056,5.420272,2.698176
31,0.2946169376373291,1.935128,7.242976,2.877576
32,0.3046226501464844,1.396928,6.915272,2.392
33,0.31462860107421875,-0.511888,5.547048,2.255656
34,0.3248720169067383,-2.313064,4.68832,1.915992
35,0.3341813087463379,-2.322632,5.283928,2.590536
36,0.3446226119995117,-1.069224,6.025448,2.693392
37,0.35474348068237305,0.102856,6.403384,2.537912
38,0.36460304260253906,0.564512,6.456008,2.497248
39,0.3746373653411865,0.246376,6.257472,2.525952
40,0.38467907905578613,-0.607568,6.3388,2.657512
41,0.3946352005004883,-1.585896,6.743048,2.470936
42,0.4046189785003662,-2.348944,7.314736,2.150408
43,0.41471076011657715,-2.466152,7.979712,2.0332
44,0.424297571182251,-2.454192,8.32416,2.100176
45,0.434617280960083,-2.219776,8.50356,2.052336
46,0.44468045234680176,-1.822704,8.876712,2.035592
47,0.4546384811401367,-1.346696,9.666072,2.198248
48,0.4646148681640625,-0.822848,10.443472,2.198248
49,0.4748363494873047,-0.672152,10.730512,2.16476
50,0.4846231937408447,-0.983112,10.8238,2.389608
51,0.49424242973327637,-1.224704,10.36932,2.186288
52,0.5046770572662354,-1.425632,10.63244,2.226952
53,0.514662504196167,-1.432808,11.495952,1.772472
54,0.5240991115570068,-1.559584,12.383384,1.846624
55,0.5347921848297119,-1.47108,12.436008,2.34416
56,0.5445995330810547,-1.227096,11.63708,3.02588
57,0.5542871952056885,-0.818064,10.747256,3.56408
58,0.5648856163024902,-0.368368,9.97464,3.61192
59,0.5742688179016113,0.205712,9.410128,3.776968
60,0.5842838287353516,0.69368,9.393384,4.049656
61,0.5947887897491455,0.772616,9.800024,4.339088
62,0.604581356048584,0.841984,10.766392,4.38932
63,0.6146228313446045,0.734344,11.713624,4.267328
64,0.6247148513793945,0.712816,12.208768,4.145336
65,0.6345946788787842,0.839592,12.584312,3.937232
66,0.6445562839508057,0.856336,12.945504,3.724344
67,0.6546952724456787,0.841984,13.122512,3.580824
68,0.6645641326904297,0.724776,12.993344,3.652584
69,0.6741807460784912,0.612352,12.70152,3.62388
70,0.6846861839294434,0.928096,12.012624,3.422952
71,0.6945865154266357,1.487824,11.1826,3.26508
72,0.7045812606811523,2.167152,10.60852,3.607136
73,0.7146909236907959,2.41592,10.079888,3.932448
74,0.7245831489562988,2.10496,9.505808,4.396496
75,0.7341487407684326,1.138592,8.781032,4.307992
76,0.7449023723602295,0.483184,7.805096,3.937232
77,0.7545726299285889,-0.224848,7.154472,3.820024
78,0.7645618915557861,-0.581256,6.967896,4.064008
79,0.7746708393096924,-0.930488,7.034872,3.889392
80,0.784569263458252,-1.109888,6.879392,3.355976
81,0.7945609092712402,-1.475864,6.810024,3.272256
82,0.804990291595459,-2.219776,6.061328,2.573792
83,0.8146255016326904,-1.959048,7.24776,3.269864
84,0.8245956897735596,-1.81792,7.55872,2.817776
